iter	Passed	Remaining
413	3300	4671
414	3308	4663
415	3316	4656
416	3325	4649
417	3334	4643
418	3343	4635
419	3351	4627
420	3359	4620
421	3368	4614
422	3377	4607
423	3386	4599
424	3394	4592
425	3402	4584
426	3411	4578
427	3420	4571
428	3427	4562
429	3435	4553
430	3443	4545
431	3450	4537
432	3459	4530
433	3467	4521
434	3474	4512
435	3482	4505
436	3490	4497
437	3497	4487
438	3504	4478
439	3512	4470
440	3520	4462
441	3527	4453
442	3535	4444
443	3542	4435
444	3550	4428
445	3558	4419
446	3566	4412
447	3574	4403
448	3581	4395
449	3589	4386
450	3597	4379
451	3605	4371
452	3613	4363
453	3623	4357
454	3631	4350
455	3639	4341
456	3646	4332
457	3653	4323
458	3660	4314
459	3668	4306
460	3674	4296
461	3682	4287
462	3689	4278
463	3696	4270
464	3704	4261
465	3711	4253
466	3718	4244
467	3726	4235
468	3733	4226
469	3740	4218
470	3748	4209
471	3755	4200
472	3762	4192
473	3770	4184
474	3777	4175
475	3785	4167
476	3792	4158
477	3800	4150
478	3808	4141
479	3815	4133
480	3823	4125
481	3830	4116
482	3838	4108
483	3846	4100
484	3853	4091
485	3860	4082
486	3867	4074
487	3874	4065
488	3881	4056
489	3888	4047
490	3896	4039
491	3904	4031
492	3911	4022
493	3919	4014
494	3926	4006
495	3934	3997
496	3942	3989
497	3949	3981
498	3958	3974
499	3966	3966
500	3975	3959
501	3983	3951
502	3991	3943
503	3998	3935
504	4006	3926
505	4013	3918
506	4021	3910
507	4029	3902
508	4037	3894
509	4044	3886
510	4052	3878
511	4060	3869
512	4067	3861
513	4075	3853
514	4083	3845
515	4091	3837
516	4099	3830
517	4107	3822
518	4115	3814
519	4123	3806
520	4131	3798
521	4140	3791
522	4148	3783
523	4156	3775
524	4164	3768
525	4172	3760
526	4181	3753
527	4191	3746
528	4200	3739
529	4209	3732
530	4219	3726
531	4228	3720
532	4240	3715
533	4248	3707
534	4258	3701
535	4268	3695
536	4277	3687
537	4287	3681
538	4295	3674
539	4305	3667
540	4314	3660
541	4323	3653
542	4334	3647
543	4343	3640
544	4352	3633
545	4360	3626
546	4369	3618
547	4377	3610
548	4384	3602
549	4392	3594
550	4401	3586
551	4409	3579
552	4417	3570
553	4425	3562
554	4433	3554
555	4441	3546
556	4448	3538
557	4457	3531
558	4465	3522
559	4473	3515
560	4481	3507
561	4489	3499
562	4497	3491
563	4506	3483
564	4513	3475
565	4521	3466
566	4529	3459
567	4538	3451
568	4545	3443
569	4554	3435
570	4562	3427
571	4569	3419
572	4577	3411
573	4585	3403
574	4593	3395
575	4601	3387
576	4609	3379
577	4617	3371
578	4626	3364
579	4634	3356
580	4643	3348
581	4652	3341
582	4660	3333
583	4669	3325
584	4677	3318
585	4686	3310
586	4695	3303
587	4704	3296
588	4712	3288
589	4720	3280
590	4729	3273
591	4737	3265
592	4746	3257
593	4754	3250
594	4764	3242
595	4772	3235
596	4780	3227
597	4789	3219
598	4797	3211
599	4806	3204
600	4814	3196
601	4822	3188
602	4831	3180
603	4839	3172
604	4847	3164
605	4855	3157
606	4864	3149
607	4872	3141
608	4880	3133
609	4889	3125
610	4897	3118
611	4906	3110
612	4914	3102
613	4922	3094
614	4930	3086
615	4939	3078
616	4948	3071
